TR10071|c0_g1	 NA
TR10108|c13_g1	 NA
TR10108|c5_g1	 NA
TR10108|c5_g2	 NA
TR10108|c8_g3	 NA
TR10108|c9_g1	 NA
TR10109|c15_g1	 NA
TR10111|c11_g2	 NA
TR10111|c12_g2	 NA
TR10111|c15_g1	 NA
TR10111|c3_g2	 NA
TR10111|c9_g1	 NA
TR10113|c11_g1	 NA
TR10114|c2_g2	 NA
TR10114|c4_g2	 PF00102.24,Y_phosphatase
TR10115|c10_g1	 NA
TR10115|c2_g1	 NA
TR10116|c1_g1	 NA
TR10116|c7_g1	 NA
TR10117|c17_g1	 NA
TR10120|c25_g1	 NA
TR10121|c14_g1	 NA
TR10121|c2_g2	 NA
TR10121|c8_g3	 NA
TR10122|c12_g1	 NA
TR10123|c22_g1	 NA
TR10123|c7_g3	 NA
TR10129|c9_g2	 NA
TR10132|c5_g1	 NA
TR10132|c6_g1	 PF02535.19,Zip
TR10133|c0_g2	 NA
TR10133|c7_g1	 NA
TR10134|c1_g1	 NA
TR10134|c8_g1	 NA
TR10135|c5_g2	 NA
TR10136|c3_g5	 PF05729.9,NACHT
TR10137|c1_g1	 NA
TR10137|c9_g1	 PF15299.3,ALS2CR8
TR10138|c2_g2	 NA
TR10141|c12_g1	 NA
TR10143|c4_g1	 NA
TR10144|c1_g1	 PF00092.25,VWA
TR10144|c4_g2	 NA
TR10144|c5_g3	 NA
TR10145|c6_g1	 NA
TR10148|c4_g1	 PF06119.11,NIDO
TR10150|c7_g1	 NA
TR10152|c1_g3	 PF07679.13,I-set;PF07679.13,I-set;PF13927.3,Ig_3
TR10153|c2_g2	 NA
TR10154|c4_g1	 NA
TR10155|c3_g1	 NA
TR10155|c5_g1	 NA
TR10155|c6_g1	 NA
TR10159|c13_g1	 NA
TR10159|c1_g1	 NA
TR10160|c12_g2	 NA
TR10160|c13_g1	 PF13927.3,Ig_3
TR10160|c23_g1	 NA
TR10160|c3_g1	 NA
TR10161|c1_g1	 NA
TR10162|c3_g1	 NA
TR10163|c1_g1	 PF00076.19,RRM_1
TR10164|c1_g1	 PF00078.24,RVT_1
TR10166|c15_g1	 NA
TR10166|c4_g1	 NA
